Time Input_psi Output_deg
266 6.95206226065006 -18.7918553550254
267 6.94475512483468 -18.7470706665128
268 6.93595797114174 -18.6631016172058
269 6.92603065310386 -18.6148099411333
270 6.91778112385355 -18.5654262837157
271 6.91071928040399 -18.5113312054071
272 6.90456428144215 -18.4529606673664
273 6.90035811033343 -18.4082432314435
274 6.89429275507475 -18.3532067640978
275 6.88850706652386 -18.2996155178645
276 6.88585866151617 -18.2745818558859
277 6.88376888461557 -18.213012501914
278 6.87999192292586 -18.1660817594679
279 6.8774907960284 -18.099987777882
280 6.87594187766787 -18.0653089692988
281 6.87538472529987 -18.0309145462934
282 6.87513859171166 -17.9945446981125
283 6.87563565676188 -17.9514359495027
284 6.8764160165362 -17.9173235119079
285 6.87757356950931 -17.8812482625861
286 6.88009166434147 -17.8428383039247
287 6.88312251844454 -17.8062199869354
288 6.88655400375076 -17.7726412509825
289 6.89056655896933 -17.7426516757772
290 6.89475203352578 -17.7014696996252
291 6.89988913804247 -17.6636342304043
292 6.90648136424305 -17.6321660232343
293 6.91305625466261 -17.5938322558747
294 6.91988953702614 -17.5584817836755
295 6.92544073758755 -17.5302968834647
296 6.93058910247748 -17.4972697388628
297 6.93894147595581 -17.4490342150792
298 6.95024896573482 -17.4162177867467
299 6.9592770300058 -17.3789544548185
300 6.96772303321864 -17.3609781341238
301 6.97902817603152 -17.3232345238602
302 6.99031079591179 -17.2952399580075
303 7.00281862769957 -17.2640913981862
304 7.01134716018785 -17.2313355785089
305 7.02363703823273 -17.1921824625044
306 7.03536103877323 -17.1726689442691
307 7.05615440440664 -17.1278034654449
308 7.06624598399981 -17.1107035751742
309 7.07608151612494 -17.0862471135662
310 7.09797622590959 -17.0502037721804
311 7.11268097931844 -17.0389286871829
312 7.12691105280264 -17.0286104128171
313 7.13938428609083 -17.0236633404695
314 7.16424689809596 -17.0252363520856
315 7.17491267604934 -17.0311895414882
316 7.1832389711635 -17.0354127771376
317 7.20559273477766 -17.039958705208
318 7.22805822681794 -17.0443628836369
319 7.24880685669706 -17.0472309180292
320 7.27148237791235 -17.0500266819838
321 7.28454916065737 -17.0522861514127
322 7.30208966329664 -17.0555498753178
323 7.33089417425254 -17.0598080507653
324 7.34898590462164 -17.0601373398148
325 7.37338770133476 -17.0627101783073
326 7.39547906859615 -17.06585745476
327 7.41169944028497 -17.0688578743175
328 7.431880850175 -17.0737444947412
329 7.45907400681651 -17.0780918047087
330 7.48144117515739 -17.0806609277812
331 7.50555880419467 -17.084584702485
332 7.52731674121725 -17.090033578588
333 7.55054685964296 -17.0938232246408
334 7.57873200195461 -17.0984265886028
335 7.60592089750454 -17.1060370309238
336 7.62850767730754 -17.1122757416264
337 7.65184782806993 -17.1154518286
338 7.677008773713 -17.1204188240441
339 7.70761636560291 -17.1274510866012
340 7.73390942008493 -17.1350111670068
341 7.75364553459971 -17.1419259049175
342 7.78370446696376 -17.1491887296268
343 7.81419461031873 -17.1599648181971
344 7.83535215549095 -17.1645187604943
