"Time Steps" "Input pressure setpoint(psi)" "Output Angle (deg)"
611 18.2514087124391 17.2801637748516
612 18.2761421139303 17.3076949263774
613 18.3010463871695 17.3282934900862
614 18.3259131037285 17.3356845310388
615 18.3507510839236 17.3597251940668
616 18.376052819055 17.3773747325289
617 18.4013915917795 17.3927474500929
618 18.4264839703005 17.4180015585743
619 18.4511517137512 17.4471649079148
620 18.4759365837559 17.4674448255165
621 18.5015563512465 17.486830398186
622 18.5266023733923 17.5097894935645
623 18.5512476029565 17.5277283514746
624 18.5760071380527 17.5431892199731
625 18.601152483454 17.5653366050147
626 18.6262030740814 17.5809372825269
627 18.6509619040715 17.6040840699756
628 18.6764611830105 17.6211501437529
629 18.7014009021405 17.6392233504056
630 18.7268189732397 17.6669944087216
631 18.7514631351543 17.6788539829098
632 18.7767414341221 17.6934534669798
633 18.8009654488789 17.707550462337
634 18.8263220561653 17.7324043934163
635 18.8511972787483 17.7501892688439
636 18.8761868745696 17.763077657192
637 18.9010967862611 17.7781736131305
638 18.926592853706 17.7971527597562
639 18.9510075581463 17.8153795447211
640 18.9756279470101 17.8283487237465
641 19.0014715948845 17.8423183264485
642 19.026014360473 17.8599045617813
643 19.0511388027136 17.8776672864868
644 19.0761743820245 17.8997549762075
645 19.1011521950239 17.9222390173038
646 19.1255262920516 17.9436110880348
647 19.1513708360163 17.9726588600191
648 19.1760283495584 17.9899854280339
649 19.2010349388295 18.0117830878782
650 19.2261032740771 18.0298381158427
651 19.2510703990047 18.1021318343226
652 19.2764129412962 18.1773473725694
653 19.3007709629893 18.1962240797652
654 19.3253000338663 18.2223841326763
655 19.3516281486516 18.2157964016895
656 19.3766869157317 18.2704072426909
657 19.4011535367687 18.2854134255321
658 19.4259406024517 18.2901943244977
659 19.4507894634995 18.3094381568436
660 19.4757894264321 18.3320096158934
661 19.5007891210319 18.353526809852
662 19.5249157722602 18.3702457340758
663 19.5504150437112 18.3906486645826
664 19.5755098511059 18.4109925846831
665 19.600808688496 18.4292897094665
666 19.6262315253069 18.4429178161513
667 19.651380511707 18.4604636689052
668 19.6760118091685 18.4747899928663
669 19.7007609642429 18.4979707448397
670 19.7264944323159 18.5147909905432
671 19.7513171414684 18.5347283841009
672 19.7761406453559 18.5514948151952
673 19.8012131956109 18.5753000994011
674 19.8262104534851 18.5935481509809
675 19.851530684156 18.6107803130257
676 19.8768490846261 18.6293620567936
677 19.9021472488279 18.6505830223643
678 19.9261568535749 18.6659705080372
679 19.9511627399874 18.6819151758387
680 19.9765300409256 18.7142269763736
681 20.0013764837589 18.7376932406194
682 20.026255273036 18.7547104849103
683 20.0521611209238 18.775084539669
684 20.0772970064095 18.7992055368053
685 20.1017077040368 18.8221987406412
686 20.125995542689 18.8387334486598
687 20.1516209157781 18.8607908906582
688 20.1762232320002 18.8805572256791
689 20.2011138006458 18.9052077842952
690 20.2263017142517 18.918617466993
691 20.2516850311712 18.9375875765264
692 20.2762540436209 18.9612759935393
693 20.301412561207 18.982597741226
694 20.3273959514859 18.9984590651334
695 20.3524093676868 19.0186664195691
696 20.376743919601 19.0355012325447
697 20.4011745616609 19.0600349614635
698 20.4261988790003 19.0748754433235
699 20.4509647632563 19.0930942944593
700 20.4767484018238 19.114635190678
701 20.501591542771 19.1376907091848
702 20.5261262029683 19.1500567311853
703 20.5510650399684 19.1640588454079
704 20.5759976901518 19.1816560308492
705 20.6006648591384 19.2010008156548
706 20.6253070415402 19.2131555610468
707 20.6505917639298 19.2303751130894
708 20.6764561588586 19.2493291522727
709 20.7012333316253 19.2656904109143
710 20.7268672367028 19.2804736195283
711 20.7489856820042 19.2268966022342
712 20.7768496455452 19.3152063648224
713 20.8004157399378 19.2488108719749
714 20.8263743281698 19.2706677817607
715 20.851570218919 19.2917243670341
716 20.8764480315072 19.3437175703232
717 20.9012347262538 19.4192545810604
718 20.9262497669851 19.3759334757965
719 20.9508249434621 19.3624942203473
720 20.976187851044 19.3781265489524
721 21.0019049909366 19.3981055393968
722 21.0263844700103 19.4181381729624
723 21.0510383184251 19.4389836789204
724 21.0763037172374 19.4565210735335
725 21.1018151180269 19.4776906423286
726 21.1264986005577 19.4943404755278
727 21.1503728684504 19.5111135154762
728 21.1766269767547 19.5262631698883
729 21.2027430747969 19.5396994618176
730 21.2275167640066 19.5577298017679
731 21.2521875899425 19.5778390001064
732 21.2776230879159 19.5978058262193
733 21.301869702159 19.619018566487
734 21.3272756143551 19.6374514074121
735 21.3515423290286 19.6610977917477
736 21.376298859601 19.6749292788726
737 21.4015832241498 19.6952364148486
738 21.4273449662061 19.7123054076351
739 21.4518903954153 19.7333806464034
